chrom1	start1	end1	chrom2	start2	end2	contacts
chr1	414340	414341	chr1	486009	486010	1
chr1	413548	413549	chr1	483341	483342	2
chr1	413026	413027	chr1	483480	483481	2
chr1	415068	415069	chr1	483480	483481	1
chr1	416673	416674	chr1	480077	480078	1
chr1	416673	416674	chr1	483479	483480	1
chr1	409912	409913	chr1	480398	480399	1
chr1	410476	410477	chr1	480987	480988	1
chr1	407220	407221	chr1	484074	484075	1
chr1	405249	405250	chr1	482212	482213	1
chr1	408424	408425	chr1	482212	482213	1
chr1	410476	410477	chr1	482211	482212	1
chr1	410205	410206	chr1	485841	485842	1
chr1	409912	409913	chr1	481951	481952	1
chr1	410206	410207	chr1	480077	480078	1
chr1	395017	395018	chr1	488177	488178	2
chr1	390655	390656	chr1	490535	490536	1
chr1	395739	395740	chr1	493171	493172	1
chr1	396368	396369	chr1	490367	490368	1
chr1	391217	391218	chr1	492163	492164	1
chr1	395267	395268	chr1	492163	492164	2
chr1	391495	391496	chr1	491886	491887	1
chr1	390654	390655	chr1	489460	489461	1
chr1	396931	396932	chr1	491257	491258	1
chr1	395267	395268	chr1	491081	491082	1
chr1	390079	390080	chr1	488178	488179	1
chr1	390655	390656	chr1	491080	491081	2
chr1	393256	393257	chr1	490536	490537	1
chr1	395268	395269	chr1	490536	490537	1
chr1	399362	399363	chr1	493373	493374	3
chr1	400961	400962	chr1	491217	491218	1
chr1	404386	404387	chr1	493372	493373	1
chr1	399871	399872	chr1	492163	492164	1
chr1	401756	401757	chr1	492040	492041	2
chr1	400890	400891	chr1	491080	491081	2
chr1	399361	399362	chr1	485478	485479	1
chr1	404387	404388	chr1	480223	480224	2
chr1	404387	404388	chr1	480986	480987	1
chr1	401755	401756	chr1	481952	481953	1
chr1	404678	404679	chr1	481952	481953	1
chr1	401755	401756	chr1	483480	483481	2
chr1	393256	393257	chr1	485478	485479	1
chr1	396478	396479	chr1	483938	483939	1
chr1	394243	394244	chr1	480222	480223	1
chr1	395017	395018	chr1	480222	480223	1
chr1	390078	390079	chr1	482212	482213	1
chr1	394533	394534	chr1	482212	482213	2
chr1	390736	390737	chr1	484073	484074	1
chr1	390079	390080	chr1	481952	481953	2
chr1	395268	395269	chr1	483479	483480	1
chr1	433780	433781	chr1	498755	498756	2
chr1	433340	433341	chr1	494101	494102	1
chr1	432750	432751	chr1	496811	496812	1
chr1	429151	429152	chr1	495520	495521	1
chr1	432411	432412	chr1	494422	494423	2
chr1	432671	432672	chr1	494422	494423	1
chr1	428681	428682	chr1	495205	495206	1
chr1	433340	433341	chr1	495205	495206	2
chr1	431323	431324	chr1	495010	495011	1
chr1	421753	421754	chr1	497419	497420	1
chr1	424482	424483	chr1	494544	494545	1
chr1	424482	424483	chr1	494101	494102	1
chr1	426254	426255	chr1	495176	495177	1
chr1	424851	424852	chr1	495175	495176	1
chr1	423683	423684	chr1	497175	497176	1
chr1	423684	423685	chr1	498006	498007	1
chr1	420438	420439	chr1	498005	498006	1
chr1	442060	442061	chr1	498480	498481	1
chr1	444454	444455	chr1	494102	494103	1
chr1	444184	444185	chr1	499292	499293	1
chr1	447341	447342	chr1	499292	499293	1
chr1	442719	442720	chr1	497419	497420	1
chr1	447341	447342	chr1	497419	497420	1
chr1	444838	444839	chr1	495521	495522	1
chr1	444838	444839	chr1	497175	497176	1
chr1	442060	442061	chr1	498005	498006	2
chr1	444184	444185	chr1	498418	498419	1
chr1	435171	435172	chr1	494545	494546	1
chr1	441639	441640	chr1	498755	498756	1
chr1	439947	439948	chr1	495521	495522	1
chr1	440848	440849	chr1	495521	495522	1
chr1	435371	435372	chr1	496635	496636	1
chr1	435171	435172	chr1	495176	495177	1
chr1	435372	435373	chr1	494422	494423	1
chr1	435170	435171	chr1	497175	497176	1
chr1	435372	435373	chr1	497175	497176	1
chr1	439947	439948	chr1	498207	498208	1
chr1	436549	436550	chr1	494972	494973	1
chr1	438576	438577	chr1	494972	494973	1
chr1	435372	435373	chr1	493373	493374	1
chr1	435213	435214	chr1	492388	492389	2
chr1	436549	436550	chr1	492388	492389	2
chr1	435371	435372	chr1	486985	486986	1
chr1	434681	434682	chr1	490367	490368	1
chr1	435372	435373	chr1	491886	491887	1
chr1	439287	439288	chr1	492040	492041	2
chr1	441640	441641	chr1	491359	491360	1
chr1	437819	437820	chr1	488178	488179	3
chr1	440847	440848	chr1	488178	488179	1
chr1	435170	435171	chr1	489459	489460	1
chr1	439948	439949	chr1	491080	491081	2
chr1	436548	436549	chr1	490536	490537	1
chr1	444455	444456	chr1	493171	493172	1
chr1	447275	447276	chr1	493171	493172	1
chr1	442521	442522	chr1	492387	492388	1
chr1	447340	447341	chr1	490082	490083	2
chr1	442865	442866	chr1	490367	490368	1
chr1	445703	445704	chr1	490081	490082	1
chr1	442988	442989	chr1	490366	490367	2
chr1	442987	442988	chr1	492163	492164	1
chr1	444454	444455	chr1	492163	492164	1
chr1	447276	447277	chr1	491886	491887	1
chr1	447341	447342	chr1	492162	492163	1
chr1	444184	444185	chr1	489460	489461	2
chr1	444455	444456	chr1	492040	492041	1
chr1	445703	445704	chr1	492040	492041	2
chr1	444183	444184	chr1	489459	489460	1
chr1	442061	442062	chr1	491080	491081	1
chr1	444184	444185	chr1	491080	491081	1
chr1	444837	444838	chr1	480223	480224	1
chr1	444455	444456	chr1	486010	486011	1
chr1	444838	444839	chr1	486009	486010	1
chr1	447275	447276	chr1	486009	486010	1
chr1	444183	444184	chr1	485841	485842	1
chr1	444184	444185	chr1	481952	481953	2
chr1	444455	444456	chr1	481952	481953	1
chr1	445703	445704	chr1	481951	481952	1
chr1	447341	447342	chr1	480078	480079	1
chr1	444183	444184	chr1	483480	483481	2
chr1	447341	447342	chr1	483480	483481	1
chr1	434682	434683	chr1	485478	485479	1
chr1	434681	434682	chr1	484074	484075	1
chr1	436548	436549	chr1	484074	484075	1
chr1	437819	437820	chr1	480986	480987	1
chr1	434681	434682	chr1	485724	485725	1
chr1	435371	435372	chr1	486009	486010	1
chr1	436548	436549	chr1	482211	482212	1
chr1	434681	434682	chr1	481951	481952	1
chr1	439947	439948	chr1	483480	483481	1
chr1	420438	420439	chr1	493373	493374	1
chr1	424851	424852	chr1	493373	493374	1
chr1	423684	423685	chr1	486986	486987	1
chr1	421283	421284	chr1	492163	492164	1
chr1	426255	426256	chr1	489460	489461	1
chr1	424915	424916	chr1	491081	491082	1
chr1	421283	421284	chr1	492040	492041	1
chr1	420439	420440	chr1	489459	489460	1
chr1	421753	421754	chr1	491080	491081	1
chr1	424482	424483	chr1	491080	491081	1
chr1	431323	431324	chr1	488177	488178	1
chr1	431323	431324	chr1	493373	493374	1
chr1	432412	432413	chr1	493373	493374	1
chr1	433779	433780	chr1	493373	493374	1
chr1	429449	429450	chr1	491217	491218	1
chr1	431323	431324	chr1	492388	492389	1
chr1	431323	431324	chr1	492041	492042	1
chr1	429448	429449	chr1	489459	489460	1
chr1	428681	428682	chr1	480223	480224	1
chr1	433339	433340	chr1	483938	483939	1
chr1	429448	429449	chr1	484074	484075	1
chr1	432412	432413	chr1	486010	486011	1
chr1	433779	433780	chr1	486010	486011	1
chr1	429448	429449	chr1	485841	485842	1
chr1	433780	433781	chr1	483480	483481	2
chr1	423683	423684	chr1	481164	481165	1
chr1	420439	420440	chr1	486010	486011	1
chr1	420439	420440	chr1	482212	482213	1
chr1	421282	421283	chr1	482212	482213	1
chr1	420438	420439	chr1	482211	482212	1
chr1	420439	420440	chr1	480077	480078	1
chr1	420439	420440	chr1	476620	476621	4
chr1	424482	424483	chr1	476324	476325	1
chr1	424915	424916	chr1	473982	473983	1
chr1	424851	424852	chr1	477519	477520	1
chr1	420439	420440	chr1	471935	471936	2
chr1	421753	421754	chr1	472460	472461	1
chr1	424851	424852	chr1	473455	473456	1
chr1	424608	424609	chr1	478136	478137	1
chr1	424483	424484	chr1	472459	472460	1
chr1	424915	424916	chr1	472459	472460	1
chr1	420438	420439	chr1	472918	472919	1
chr1	432411	432412	chr1	476325	476326	1
chr1	432411	432412	chr1	476324	476325	1
chr1	431323	431324	chr1	475641	475642	1
chr1	431322	431323	chr1	477519	477520	1
chr1	432411	432412	chr1	477518	477519	1
chr1	429152	429153	chr1	478136	478137	1
chr1	433779	433780	chr1	478136	478137	1
chr1	433340	433341	chr1	472459	472460	1
chr1	429152	429153	chr1	472917	472918	1
chr1	431323	431324	chr1	469847	469848	2
chr1	431322	431323	chr1	466656	466657	1
chr1	432750	432751	chr1	465208	465209	2
chr1	432671	432672	chr1	464351	464352	1
chr1	429449	429450	chr1	466581	466582	1
chr1	432411	432412	chr1	466581	466582	1
chr1	432750	432751	chr1	469437	469438	1
chr1	432671	432672	chr1	466580	466581	1
chr1	432412	432413	chr1	467123	467124	1
chr1	429449	429450	chr1	468292	468293	1
chr1	432671	432672	chr1	470862	470863	1
chr1	432750	432751	chr1	470540	470541	3
chr1	431322	431323	chr1	468115	468116	1
chr1	432750	432751	chr1	468115	468116	1
chr1	421283	421284	chr1	464352	464353	2
chr1	420439	420440	chr1	468388	468389	1
chr1	420439	420440	chr1	467152	467153	1
chr1	424851	424852	chr1	468293	468294	1
chr1	424914	424915	chr1	467123	467124	1
chr1	436549	436550	chr1	476620	476621	1
chr1	436549	436550	chr1	476325	476326	1
chr1	436549	436550	chr1	475642	475643	1
chr1	436549	436550	chr1	475641	475642	1
chr1	434681	434682	chr1	477519	477520	1
chr1	434682	434683	chr1	477519	477520	1
chr1	434682	434683	chr1	478137	478138	1
chr1	439228	439229	chr1	476325	476326	2
chr1	439948	439949	chr1	476324	476325	1
chr1	439228	439229	chr1	477519	477520	1
chr1	438576	438577	chr1	478137	478138	1
chr1	439287	439288	chr1	476621	476622	1
chr1	441640	441641	chr1	473982	473983	1
chr1	439228	439229	chr1	472459	472460	1
chr1	440848	440849	chr1	472459	472460	1
chr1	441639	441640	chr1	472459	472460	1
chr1	438576	438577	chr1	472918	472919	1
chr1	440848	440849	chr1	474041	474042	1
chr1	441640	441641	chr1	472917	472918	2
chr1	434682	434683	chr1	472459	472460	2
chr1	437819	437820	chr1	472918	472919	1
chr1	442154	442155	chr1	476620	476621	1
chr1	442154	442155	chr1	476324	476325	1
chr1	442060	442061	chr1	475641	475642	1
chr1	442155	442156	chr1	471935	471936	1
chr1	442719	442720	chr1	471935	471936	2
chr1	445703	445704	chr1	477518	477519	1
chr1	447275	447276	chr1	472460	472461	1
chr1	444455	444456	chr1	478136	478137	2
chr1	447340	447341	chr1	478136	478137	1
chr1	442522	442523	chr1	471934	471935	3
chr1	447275	447276	chr1	471934	471935	1
chr1	444837	444838	chr1	474042	474043	2
chr1	442864	442865	chr1	472918	472919	2
chr1	442988	442989	chr1	472918	472919	1
chr1	444837	444838	chr1	472918	472919	1
chr1	442522	442523	chr1	476621	476622	1
chr1	442060	442061	chr1	468612	468613	1
chr1	444838	444839	chr1	466656	466657	1
chr1	447340	447341	chr1	464352	464353	1
chr1	444455	444456	chr1	468388	468389	1
chr1	447275	447276	chr1	468388	468389	1
chr1	442060	442061	chr1	467152	467153	1
chr1	442522	442523	chr1	471077	471078	1
chr1	442060	442061	chr1	466064	466065	1
chr1	445702	445703	chr1	471076	471077	1
chr1	447275	447276	chr1	468292	468293	1
chr1	447341	447342	chr1	469436	469437	1
chr1	444454	444455	chr1	464764	464765	1
chr1	444183	444184	chr1	470541	470542	1
chr1	447341	447342	chr1	470540	470541	1
chr1	442988	442989	chr1	468613	468614	1
chr1	445702	445703	chr1	468613	468614	1
chr1	442061	442062	chr1	468115	468116	1
chr1	444838	444839	chr1	469848	469849	1
chr1	444183	444184	chr1	464870	464871	1
chr1	439287	439288	chr1	468612	468613	1
chr1	435213	435214	chr1	466656	466657	1
chr1	435171	435172	chr1	465208	465209	1
chr1	437819	437820	chr1	465208	465209	1
chr1	441639	441640	chr1	468507	468508	1
chr1	435372	435373	chr1	467152	467153	2
chr1	441639	441640	chr1	467152	467153	1
chr1	439287	439288	chr1	466065	466066	2
chr1	434681	434682	chr1	471077	471078	3
chr1	435372	435373	chr1	471077	471078	1
chr1	434682	434683	chr1	466064	466065	1
chr1	435371	435372	chr1	466580	466581	1
chr1	438575	438576	chr1	468116	468117	1
chr1	440847	440848	chr1	468116	468117	2
chr1	439287	439288	chr1	468613	468614	1
chr1	436549	436550	chr1	462821	462822	1
chr1	434681	434682	chr1	462524	462525	1
chr1	435170	435171	chr1	462524	462525	1
chr1	435372	435373	chr1	462606	462607	2
chr1	436548	436549	chr1	462523	462524	1
chr1	435372	435373	chr1	460891	460892	1
chr1	439286	439287	chr1	462953	462954	1
chr1	439948	439949	chr1	462821	462822	1
chr1	439947	439948	chr1	461245	461246	1
chr1	438576	438577	chr1	462738	462739	1
chr1	439947	439948	chr1	460940	460941	1
chr1	441639	441640	chr1	462737	462738	1
chr1	440847	440848	chr1	456775	456776	1
chr1	438576	438577	chr1	457181	457182	1
chr1	439287	439288	chr1	457181	457182	1
chr1	439287	439288	chr1	457052	457053	1
chr1	439948	439949	chr1	458074	458075	1
chr1	439947	439948	chr1	457288	457289	3
chr1	440847	440848	chr1	458733	458734	1
chr1	437814	437815	chr1	457182	457183	1
chr1	437819	437820	chr1	457182	457183	2
chr1	442988	442989	chr1	463790	463791	1
chr1	444454	444455	chr1	463790	463791	1
chr1	444455	444456	chr1	462821	462822	1
chr1	442864	442865	chr1	463789	463790	1
chr1	442865	442866	chr1	463789	463790	2
chr1	444183	444184	chr1	461245	461246	1
chr1	444183	444184	chr1	462738	462739	1
chr1	442988	442989	chr1	463585	463586	1
chr1	442521	442522	chr1	462607	462608	1
chr1	442988	442989	chr1	462737	462738	1
chr1	444454	444455	chr1	463584	463585	1
chr1	442155	442156	chr1	462524	462525	2
chr1	444455	444456	chr1	460939	460940	1
chr1	442864	442865	chr1	462523	462524	2
chr1	444838	444839	chr1	462523	462524	3
chr1	447341	447342	chr1	463790	463791	1
chr1	447340	447341	chr1	463789	463790	1
chr1	447275	447276	chr1	461245	461246	1
chr1	447341	447342	chr1	462524	462525	1
chr1	445702	445703	chr1	462523	462524	1
chr1	447275	447276	chr1	460891	460892	1
chr1	447340	447341	chr1	457182	457183	1
chr1	447275	447276	chr1	457288	457289	1
chr1	447341	447342	chr1	458733	458734	1
chr1	444837	444838	chr1	456775	456776	1
chr1	444455	444456	chr1	457288	457289	2
chr1	444455	444456	chr1	455994	455995	1
chr1	444455	444456	chr1	455993	455994	1
chr1	442060	442061	chr1	454396	454397	1
chr1	442988	442989	chr1	453316	453317	1
chr1	444455	444456	chr1	454116	454117	3
chr1	444837	444838	chr1	454116	454117	1
chr1	447275	447276	chr1	455994	455995	1
chr1	447340	447341	chr1	455993	455994	1
chr1	447341	447342	chr1	454396	454397	1
chr1	447341	447342	chr1	453315	453316	1
chr1	445703	445704	chr1	453776	453777	1
chr1	447275	447276	chr1	453775	453776	1
chr1	447276	447277	chr1	453775	453776	1
chr1	447275	447276	chr1	451847	451848	1
chr1	445702	445703	chr1	452004	452005	1
chr1	447341	447342	chr1	450813	450814	1
chr1	447340	447341	chr1	449797	449798	1
chr1	447275	447276	chr1	450986	450987	1
chr1	445703	445704	chr1	449970	449971	1
chr1	447341	447342	chr1	450310	450311	1
chr1	447275	447276	chr1	451848	451849	3
chr1	447276	447277	chr1	451848	451849	2
chr1	447341	447342	chr1	451848	451849	1
chr1	442720	442721	chr1	452446	452447	1
chr1	442060	442061	chr1	452445	452446	2
chr1	442864	442865	chr1	451848	451849	1
chr1	444183	444184	chr1	451847	451848	1
chr1	444455	444456	chr1	451847	451848	2
chr1	444838	444839	chr1	451847	451848	2
chr1	444184	444185	chr1	452446	452447	1
chr1	444838	444839	chr1	452446	452447	1
chr1	444455	444456	chr1	452003	452004	1
chr1	444184	444185	chr1	451848	451849	1
chr1	444837	444838	chr1	450813	450814	2
chr1	444184	444185	chr1	450987	450988	1
chr1	444838	444839	chr1	450987	450988	1
chr1	444837	444838	chr1	449797	449798	2
chr1	444455	444456	chr1	449270	449271	1
chr1	444184	444185	chr1	449970	449971	1
chr1	444183	444184	chr1	449969	449970	2
chr1	444837	444838	chr1	449969	449970	1
chr1	444838	444839	chr1	449969	449970	1
chr1	442522	442523	chr1	450813	450814	1
chr1	442154	442155	chr1	450986	450987	1
chr1	442521	442522	chr1	449271	449272	2
chr1	442522	442523	chr1	449270	449271	1
chr1	442719	442720	chr1	449270	449271	1
chr1	442865	442866	chr1	450745	450746	1
chr1	442988	442989	chr1	450745	450746	1
chr1	442061	442062	chr1	449970	449971	1
chr1	442521	442522	chr1	449970	449971	1
chr1	434682	434683	chr1	454396	454397	1
chr1	435214	435215	chr1	453316	453317	2
chr1	436548	436549	chr1	453315	453316	1
chr1	434682	434683	chr1	454115	454116	1
chr1	439287	439288	chr1	455994	455995	1
chr1	439228	439229	chr1	454396	454397	1
chr1	438576	438577	chr1	453775	453776	1
chr1	441640	441641	chr1	453775	453776	2
chr1	439948	439949	chr1	454115	454116	1
chr1	439228	439229	chr1	451847	451848	1
chr1	439287	439288	chr1	452004	452005	1
chr1	439948	439949	chr1	452446	452447	2
chr1	438575	438576	chr1	452003	452004	1
chr1	441639	441640	chr1	452445	452446	1
chr1	439287	439288	chr1	449798	449799	1
chr1	439947	439948	chr1	449798	449799	1
chr1	439229	439230	chr1	449797	449798	1
chr1	438576	438577	chr1	450986	450987	1
chr1	441640	441641	chr1	450986	450987	1
chr1	439947	439948	chr1	449271	449272	1
chr1	439228	439229	chr1	449270	449271	2
chr1	439948	439949	chr1	449270	449271	1
chr1	440848	440849	chr1	450745	450746	1
chr1	440847	440848	chr1	449970	449971	1
chr1	439228	439229	chr1	451848	451849	4
chr1	440847	440848	chr1	451848	451849	1
chr1	440848	440849	chr1	451848	451849	1
chr1	436548	436549	chr1	452004	452005	1
chr1	435371	435372	chr1	450814	450815	1
chr1	435372	435373	chr1	450814	450815	1
chr1	437819	437820	chr1	450814	450815	1
chr1	435371	435372	chr1	452003	452004	1
chr1	434682	434683	chr1	452445	452446	1
chr1	435371	435372	chr1	450987	450988	1
chr1	434681	434682	chr1	449797	449798	1
chr1	435372	435373	chr1	449797	449798	1
chr1	436549	436550	chr1	449797	449798	1
chr1	434681	434682	chr1	449270	449271	1
chr1	435214	435215	chr1	449270	449271	1
chr1	434681	434682	chr1	450745	450746	1
chr1	437814	437815	chr1	450310	450311	2
chr1	435372	435373	chr1	449969	449970	1
chr1	420439	420440	chr1	458732	458733	1
chr1	424482	424483	chr1	463789	463790	1
chr1	424851	424852	chr1	463584	463585	1
chr1	424482	424483	chr1	462523	462524	2
chr1	426255	426256	chr1	459610	459611	1
chr1	420438	420439	chr1	458733	458734	1
chr1	429449	429450	chr1	458732	458733	1
chr1	433779	433780	chr1	463789	463790	3
chr1	432750	432751	chr1	461245	461246	2
chr1	433340	433341	chr1	461245	461246	1
chr1	429449	429450	chr1	461244	461245	1
chr1	433339	433340	chr1	462607	462608	2
chr1	432750	432751	chr1	462737	462738	1
chr1	433780	433781	chr1	457243	457244	1
chr1	429448	429449	chr1	462524	462525	1
chr1	431323	431324	chr1	462523	462524	1
chr1	431323	431324	chr1	458733	458734	1
chr1	432750	432751	chr1	454395	454396	1
chr1	432750	432751	chr1	453316	453317	1
chr1	432750	432751	chr1	453315	453316	1
chr1	433339	433340	chr1	454116	454117	1
chr1	433779	433780	chr1	453775	453776	1
chr1	432671	432672	chr1	454115	454116	1
chr1	432750	432751	chr1	452004	452005	1
chr1	432750	432751	chr1	450814	450815	2
chr1	431323	431324	chr1	449797	449798	1
chr1	433780	433781	chr1	449797	449798	1
chr1	432750	432751	chr1	450986	450987	1
chr1	431322	431323	chr1	449270	449271	1
chr1	431323	431324	chr1	450745	450746	1
chr1	432411	432412	chr1	450745	450746	1
chr1	432750	432751	chr1	450745	450746	1
chr1	429449	429450	chr1	449798	449799	1
chr1	429449	429450	chr1	450745	450746	1
chr1	429151	429152	chr1	450310	450311	1
chr1	429448	429449	chr1	450310	450311	1
chr1	429449	429450	chr1	450310	450311	1
chr1	429151	429152	chr1	449969	449970	1
chr1	429449	429450	chr1	451848	451849	1
chr1	421282	421283	chr1	452004	452005	1
chr1	426255	426256	chr1	452004	452005	1
chr1	424915	424916	chr1	452003	452004	1
chr1	420439	420440	chr1	454396	454397	1
chr1	421753	421754	chr1	454396	454397	1
chr1	424482	424483	chr1	454396	454397	1
chr1	424915	424916	chr1	450986	450987	1
chr1	420439	420440	chr1	449271	449272	2
chr1	421283	421284	chr1	450745	450746	2
chr1	426255	426256	chr1	450311	450312	1
chr1	421282	421283	chr1	450310	450311	1
chr1	424851	424852	chr1	450310	450311	1
chr1	420439	420440	chr1	453315	453316	1
chr1	424482	424483	chr1	453315	453316	1
chr1	395268	395269	chr1	476325	476326	1
chr1	395016	395017	chr1	476324	476325	1
chr1	395017	395018	chr1	473456	473457	2
chr1	391495	391496	chr1	478137	478138	1
chr1	390079	390080	chr1	477518	477519	1
chr1	391217	391218	chr1	477518	477519	1
chr1	404386	404387	chr1	475641	475642	1
chr1	398635	398636	chr1	476165	476166	1
chr1	399361	399362	chr1	473982	473983	1
chr1	404678	404679	chr1	477518	477519	1
chr1	400961	400962	chr1	473455	473456	1
chr1	399361	399362	chr1	478136	478137	1
chr1	400961	400962	chr1	476621	476622	1
chr1	398635	398636	chr1	469847	469848	1
chr1	401536	401537	chr1	468507	468508	1
chr1	404387	404388	chr1	469437	469438	1
chr1	401755	401756	chr1	466064	466065	1
chr1	404679	404680	chr1	466064	466065	1
chr1	404386	404387	chr1	464764	464765	1
chr1	400811	400812	chr1	470541	470542	1
chr1	400890	400891	chr1	470862	470863	1
chr1	390655	390656	chr1	469847	469848	1
chr1	393256	393257	chr1	465209	465210	3
chr1	393256	393257	chr1	468389	468390	1
chr1	393166	393167	chr1	468516	468517	1
chr1	395268	395269	chr1	467152	467153	1
chr1	390735	390736	chr1	467123	467124	1
chr1	390079	390080	chr1	469436	469437	1
chr1	390735	390736	chr1	470863	470864	1
chr1	395739	395740	chr1	468613	468614	2
chr1	396369	396370	chr1	468115	468116	1
chr1	390079	390080	chr1	469848	469849	1
chr1	391495	391496	chr1	464870	464871	1
chr1	405250	405251	chr1	476620	476621	1
chr1	408425	408426	chr1	475642	475643	3
chr1	405863	405864	chr1	476324	476325	1
chr1	408342	408343	chr1	476324	476325	1
chr1	410057	410058	chr1	476324	476325	3
chr1	410845	410846	chr1	475641	475642	3
chr1	407221	407222	chr1	473456	473457	2
chr1	405542	405543	chr1	478137	478138	1
chr1	410057	410058	chr1	478137	478138	1
chr1	405009	405010	chr1	471935	471936	3
chr1	408343	408344	chr1	477518	477519	1
chr1	407220	407221	chr1	473455	473456	2
chr1	407770	407771	chr1	472459	472460	1
chr1	409912	409913	chr1	474042	474043	1
chr1	410205	410206	chr1	472918	472919	1
chr1	409537	409538	chr1	472917	472918	1
chr1	418872	418873	chr1	476620	476621	1
chr1	413837	413838	chr1	476325	476326	1
chr1	418308	418309	chr1	477519	477520	1
chr1	417677	417678	chr1	477518	477519	1
chr1	413557	413558	chr1	472459	472460	1
chr1	413302	413303	chr1	472918	472919	1
chr1	414748	414749	chr1	472917	472918	1
chr1	415069	415070	chr1	472917	472918	1
chr1	416673	416674	chr1	472917	472918	1
chr1	418308	418309	chr1	464869	464870	2
chr1	412716	412717	chr1	466656	466657	1
chr1	415069	415070	chr1	466656	466657	1
chr1	419059	419060	chr1	464352	464353	1
chr1	413548	413549	chr1	465208	465209	2
chr1	416673	416674	chr1	464351	464352	1
chr1	413837	413838	chr1	468388	468389	1
chr1	416285	416286	chr1	467152	467153	2
chr1	413277	413278	chr1	464764	464765	1
chr1	418872	418873	chr1	470862	470863	1
chr1	413277	413278	chr1	470540	470541	1
chr1	417677	417678	chr1	470540	470541	1
chr1	414747	414748	chr1	468613	468614	1
chr1	413785	413786	chr1	468115	468116	1
chr1	417678	417679	chr1	469848	469849	2
chr1	405250	405251	chr1	469847	469848	2
chr1	405155	405156	chr1	466656	466657	1
chr1	405155	405156	chr1	465208	465209	1
